LEA ID,LEA Name,,,School ID,School Name,,,,Identified Student Percentage (ISP),Proxy Identified Student Percentage (ISP),,Eligible to Participate,,Near Eligible to Participate,Currently Participating,Participating as an Individual Site,,,Participating as part of a Group of Schools,Participating as Part of an Entire District,Participating in Year 4 and Eligible for a Grace Year,,"Student Enrollment in Near-Eligible, Eligible, and Participating CEP Schools",Comments,
48.23%,,,X,,,,,,,,,,707,,,,,,,,,,,,
48.24%,,,X,,,,,,,,,,595,,,,,,,,,,,,
48.25%,,,X,,,,,,,,,,"1,231",,,,,,,,,,,,
48.30%,,,X,,,,,,,,,,501,,,,,,,,,,,,
48.47%,,,X,,,,,,,,,,522,,,,,,,,,,,,
48.71%,,,X,,,,,,,,,,622,,,,,,,,,,,,
48.73%,,,X,,,,,,,,,,829,,,,,,,,,,,,
49.01%,,,X,,,,,,,,,,"2,026",,,,,,,,,,,,
49.09%,,,X,,,,,,,,,,548,,,,,,,,,,,,
49.19%,,,X,,,,X,,G24,,,,492,,,,,,,,,,,,
49.43%,,,X,,,,X,,G22,,,,700,,,,,,,,,,,,
49.44%,,,X,,,,,,,,,,"1,772",,,,,,,,,,,,
49.89%,,,X,,,,,,,,,,447,,,,,,,,,,,,
50.13%,,,X,,,,,,,,,,756,,,,,,,,,,,,
50.20%,,,X,,,,,,,,,,"2,504",,,,,,,,,,,,
50.43%,,,X,,,,,,,,,,117,,,,,,,,,,,,
50.44%,,,X,,,,,,,,,,"2,256",,,,,,,,,,,,
50.69%,,,X,,,,,,,,,,580,,,,,,,,,,,,
50.87%,,,X,,,,,,,,,,517,,,,,,,,,,,,
50.91%,,,X,,,,,,,,,,552,,,,,,,,,,,,
50.93%,,,X,,,,,,,,,,648,,,,,,,,,,,,
50.93%,,,X,,,,,,,,,,"3,218",,,,,,,,,,,,
51.15%,,,X,,,,,,,,,,"1,220",,,,,,,,,,,,
51.22%,,,X,,,,,,,,,,"1,273",,,,,,,,,,,,
"Cram, Brian & Teri MS
Silvestri, Charles A.  MS Mack, Nate ES
Darnell, Marshall  ES Mathis, Dr. Beverly S.  ES Gilbert, C. V. T. ES Galloway, Fay  ES Conners, Eileen  ES Roberts, Aggie ES
Indian Springs HS Hyde Park MS Bass, John C. ES Legacy HS
Hughes, Charles Arther MS Garehime, Edith ES Bracken, Walter ES
Neal, Joseph M.  ES Bryan, Richard ES Miller, Sandy ES Becker, Ernest  MS Cartwright, Roberta ES May, Ernest  ES Schofield, Jack MS Antonello, Lee  ES McCaw, Gordon  ES Carl, Kay ES
Johnson, Walter  MS Berkley, Shelley  ES McDoniel, Estes M.  ES Tanaka, Wayne N.  ES Simmons, Eva G.  ES Basic  HS
Wiener, Louis ES Lawrence, Clifford J.  MS Las Vegas HS
Brookman, Eileen B. ES Indian Springs ES Iverson, Mervin ES Treem, Harriet A. ES Bendorf, Patricia  ES Bonanza HS
Stevens, Josh ES Bryan, Roger ES Christensen, M. J. ES Barber, Shirley A. ES Indian Springs  MS
O' Callaghan, Mike  MS Knudson, K. O. MS Tomiyasu, Bill Y.  ES Brown, B. Mahlon  MS Clark HS
Mackey, Jo ES Sandy Valley  MS Earl, Marion B.  ES Hill, Charlotte ES
Guinn, Kenny C.  MS Adams, Kirk ES Bowler, Joseph L. ES Derfelt, Herbert ES Goldfarb, Daniel ES Eldorado  HS Jacobson, Walter ES Kahre, Marc  ES
Hayes, Keith & Karen ES Harney, Kathy & Tim MS Hoggard, Mabel  ES Dickens, Dusty ES Cimarron Memorial  HS Variety - Secondary
Del Sol HS Delta Academy Kim, Frank ES
Smith, Helen Marie  ES Burkholder MS  Rancho  HS
Sawyer, Grant  MS
Findlay, Clifford O.  MS",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Thank you for using www.freepdfconvert.com service!,,,,,,,,,,,,,,,,,,,,,,,,,
Only two pages are converted. Please Sign Up to convert all pages.,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.freepdfconvert.com/membership,,,,,,,,,,,,,,,,,,,,,,,,,
